TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,UN
195511,8,3756,88,2848,3241,182,1216,38,0,27269,495,12245,5740,245,3177,1221,4338,1394,497,0,4936,58119,388,19,111,130,2412,135,2464,6522,67,30313,3153,917,7655,957,7271,1945
5864,0,49,0,5,18,4,8,0,0,930,0,814,78,3,36,5,55,11,1,0,253,2347,0,0,0,0,8,4,43,172,0,307,121,1,236,20,336,0
96401,27,1812,6,1786,2800,115,635,2,0,9135,35,9417,2175,229,1741,717,3027,808,47,0,4421,25643,81,25,1,88,1702,71,491,5359,5,12782,1542,260,4876,1026,3514,0
199502,8,3824,88,2855,3287,182,1217,38,0,27741,503,12569,5765,251,3189,1247,4366,1420,497,0,5189,59721,389,19,111,130,2546,138,2475,6728,67,30760,3200,918,7799,963,7358,1945
5961,0,50,0,5,18,4,8,0,0,939,0,834,78,3,36,5,57,11,1,0,258,2391,0,0,0,0,8,4,43,176,0,309,121,1,238,20,344,0
97995,27,1862,6,1786,2812,122,636,2,0,9322,35,9608,2196,229,1760,717,3036,811,47,0,4588,26185,81,25,1,88,1717,71,514,5424,5,12847,1555,287,4983,1030,3580,0
200388,8,3865,88,2855,3293,182,1217,38,0,27758,503,12685,5771,253,3211,1248,4385,1421,498,0,5386,59957,389,25,111,130,2546,138,2477,6799,67,30798,3206,918,7874,963,7381,1945
5988,0,53,0,5,18,4,8,0,0,941,0,839,78,3,36,5,59,11,1,0,258,2400,0,1,0,0,8,4,43,176,0,311,121,1,241,20,344,0
98139,27,1866,7,1788,2812,124,640,2,0,9332,36,9613,2198,229,1766,717,3045,818,47,0,4588,26221,81,25,1,88,1718,71,514,5424,5,12884,1563,288,4990,1030,3581,0
210420,9,4169,92,3046,3480,187,1261,38,0,29405,531,13199,6285,291,3390,1278,4598,1503,504,0,5519,62743,421,25,116,134,2692,146,2604,7086,67,32641,3425,928,8350,989,7788,1481
6384,0,55,0,5,20,5,8,0,0,1014,0,867,90,3,39,6,61,12,1,0,264,2578,0,1,0,0,8,4,47,185,0,355,123,1,259,20,354,0
108778,27,1935,7,2033,3063,130,764,2,0,9936,47,9952,2760,245,1981,812,3219,891,49,0,4814,31292,141,25,1,88,1864,75,601,5643,5,13681,1952,288,5332,1108,4015,0
210447,9,4169,92,3046,3480,187,1261,38,0,29405,531,13199,6285,291,3390,1278,4598,1508,504,0,5519,62761,421,25,116,134,2692,146,2604,7087,67,32641,3427,928,8351,989,7788,1481
6384,0,55,0,5,20,5,8,0,0,1014,0,867,90,3,39,6,61,12,1,0,264,2578,0,1,0,0,8,4,47,185,0,355,123,1,259,20,354,0
108782,27,1935,7,2033,3063,130,764,2,0,9937,47,9952,2760,245,1981,812,3219,891,49,0,4814,31292,141,25,1,88,1864,75,601,5645,5,13681,1953,288,5332,1108,4015,0
214255,9,4271,92,3049,3514,187,1267,38,0,29830,531,13539,6321,293,3420,1286,4667,1524,504,0,5688,64337,421,25,116,134,2757,146,2601,7300,67,33075,3467,928,8506,993,7872,1481
6488,0,55,0,5,20,5,8,0,0,1022,0,887,92,3,39,6,62,12,1,0,266,2627,0,1,0,0,8,4,47,185,0,360,123,1,266,20,364,0
111016,27,1995,7,2034,3091,133,764,2,0,10410,47,10234,2785,245,2009,822,3239,891,51,0,4926,31767,141,25,1,88,1872,75,683,5736,5,14040,1960,301,5425,1109,4076,0
215316,9,4280,92,3051,3525,187,1270,38,0,29892,531,13702,6332,293,3434,1287,4703,1531,504,0,5914,64622,421,27,116,134,2757,146,2612,7355,67,33100,3517,928,8576,993,7890,1481
6514,0,55,0,5,20,5,8,0,0,1028,0,890,92,3,39,6,63,12,1,0,268,2634,0,1,0,0,8,4,48,185,0,361,123,1,268,20,367,0
111274,28,1995,7,2037,3099,133,770,2,0,10421,47,10243,2793,248,2011,822,3241,918,53,0,4932,31772,141,25,1,88,1872,75,685,5753,5,14102,2028,301,5436,1109,4081,0
226402,12,4544,96,3252,3673,195,1339,53,0,31751,568,14226,6882,297,3512,1333,5020,1610,598,0,6062,67323,431,27,120,136,2865,160,2716,7590,67,34615,3730,929,9083,1090,8305,2193
8518,0,57,0,5,21,5,8,0,0,1465,0,918,110,3,40,6,70,12,1,0,279,4043,0,1,0,0,8,4,49,192,0,410,127,1,286,21,377,0
118500,28,2123,7,2243,3444,134,861,9,0,10494,47,10661,2976,267,2188,943,3563,978,56,0,5181,33574,149,27,1,103,1992,79,703,5930,5,15540,2289,424,5730,1136,4615,0
226417,12,4544,96,3252,3673,195,1339,53,0,31751,568,14226,6882,297,3513,1333,5021,1613,598,0,6062,67329,431,27,120,136,2866,161,2716,7590,67,34615,3731,929,9083,1091,8305,2193
8518,0,57,0,5,21,5,8,0,0,1465,0,918,110,3,40,6,70,12,1,0,279,4043,0,1,0,0,8,4,49,192,0,410,127,1,286,21,377,0
118501,28,2123,7,2243,3444,134,861,9,0,10494,47,10661,2976,267,2188,943,3563,978,56,0,5181,33574,149,27,1,103,1992,79,703,5930,5,15541,2289,424,5730,1136,4615,0
